%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500018 49432 18658870 10.12191567313726 11.16002060732296 380.63852226596765 607.3115391320356 1241 3243 4558 49372 60 136 60 1056 923 755 577 411 270 167 102 57 32 18 11 7 4 3 3105 3028 2954 2868 2786 2716 2649 2584 2527 2469 2385 2300 2178 2017 1825 42616 6195 425 3356 42616 428 6195 4771 49373 893 509 293 5851 4497 954 400 9.476539915499222 52.53637303277356 6.4937106918239 17.391171041326665 1.5525 4.4353692067290185 192206.09717589503 147113.80206012604 195481.70125786163 149661.15025813147 228434.9775 153288.52039343162 3328.5694907716256 44771.53752554854 3843.3605870020965 16795.036925257256 166.46206896551723 636.1763797932902 2908 33617 3191 168 90 68 21 0
2 1000025 48770 17937762 10.255850681981336 11.229142974115836 370.55347146191826 601.5014304487314 1545 3246 4860 48676 94 164 94 1233 1048 836 605 422 274 172 102 57 32 18 11 7 4 3 3126 3062 2987 2900 2822 2755 2697 2635 2582 2508 2409 2325 2197 2042 1866 41527 6601 384 3186 41526 403 6601 4889 48676 876 511 549 6105 4686 1009 410 8.861929150661545 47.52332805419872 6.542120911793855 18.85619251163073 1.5658536585365854 4.8797740851346 713944.2575757576 157119.1619318968 696980.4539147671 144785.86159641095 764382.5 140152.45644233108 2934.9163287086444 31499.567148075468 4105.366699702676 19520.95219241401 258.3333333333333 1992.0512254321582 3301 31591 2960 471 407 65 19 0
3 1500001 51661 18064548 9.682849839265657 10.513531051912054 351.8467171766356 588.3517108169349 1912 3206 5267 51630 31 214 31 1512 1244 975 699 479 298 180 106 57 32 18 11 7 4 3 3068 2998 2924 2825 2739 2674 2617 2554 2504 2445 2355 2277 2154 1993 1799 43718 7342 356 3164 43718 516 7342 5346 51631 1128 459 695 6445 5032 998 415 8.687996820349762 45.54857511222033 7.356713426853707 20.522654767778825 1.4481927710843374 2.3050494597834974 1198533.0323926867 151180.28417026758 1221089.8166332666 152408.13497855776 1236482.0481927712 139497.67081581883 2733.8853338632753 23977.72685055266 4300.460921843687 21205.034591886102 87.95081967213115 304.06114570570975 3751 33714 2934 932 863 63 21 0
4 2000003 47933 18105964 10.436777290753495 11.268896095122702 381.13099122234615 607.4633906335995 1642 3285 5021 47872 61 213 61 1366 1158 918 662 452 283 172 103 58 32 18 11 7 4 3 3143 3072 2985 2894 2798 2729 2668 2605 2556 2485 2401 2319 2208 2059 1875 40676 6526 457 3196 40676 464 6525 5130 47873 1025 444 667 6249 4771 988 490 8.525675958918466 43.19302966659668 6.605263157894737 20.185300500000082 1.4918367346938775 3.130169194096937 1705675.0628798993 152923.3990992618 1703844.5495951418 149034.4596233118 1753134.26122449 143158.62360805605 2854.679102913435 22375.81558668079 4513.145748987854 22823.48526553278 151.5191256830601 735.8340496564969 3454 30559 2887 711 603 77 29 0
5 2500017 48885 18481597 10.234828172012199 11.098219546695686 380.87495105615665 605.5594904261111 1631 3401 5273 48794 91 211 91 1323 1122 877 651 449 288 175 107 59 32 18 11 7 4 3 3248 3173 3077 2979 2880 2821 2748 2686 2638 2576 2500 2417 2297 2124 1921 40987 7072 524 3234 40987 506 7072 5254 48795 1064 444 643 6522 4915 1151 456 8.339165818921668 42.901137860259425 6.144222415291051 19.34096636720555 1.8114035087719298 9.036111762781251 2194504.38474059 145772.04453704655 2220949.7975673326 152085.64723192924 2243297.3135964912 150385.68373733165 2774.217090539166 23690.454644031113 3980.1876629018243 20885.170623987 1258.218009478673 16437.76493178457 3587 31283 3009 667 603 105 24 0
6 3000004 49856 19159828 10.032605642280991 11.155724027538268 387.3961260842314 609.2471336791644 1570 3361 5039 49762 94 124 94 1195 1015 812 606 433 279 173 103 57 32 18 11 7 4 3 3220 3138 3046 2950 2842 2779 2718 2654 2593 2524 2442 2334 2213 2051 1870 42605 6614 419 3332 42604 440 6613 5169 49762 1010 479 533 6363 4901 1029 433 8.693123852275045 44.76346276204843 6.427599611273081 19.843630698546363 1.4711316397228638 4.645641628794355 2705338.3448275863 153015.4921874817 2702602.792031098 146894.9709384887 2739766.9260969977 152743.08689610788 3080.0377551020406 25809.187859432335 3919.7444120505347 20948.415266317115 221.94230769230768 1717.8476713011758 3449 32769 3141 635 574 97 27 0
7 3500015 50861 19774181 9.836743124680332 10.9586381278149 391.1790271211252 613.876541852531 1184 3354 4653 50861 0 116 0 1028 914 750 583 421 277 170 104 57 31 17 10 6 3 2 3225 3160 3085 2987 2886 2825 2753 2690 2635 2579 2495 2414 2288 2105 1912 43442 6891 412 3281 43442 538 6891 4776 50861 923 507 207 5937 4496 1063 378 9.662366548042705 52.428741251842666 6.482596425211665 21.847478655726334 1.3968253968253967 1.9572143037204257 3196667.546040925 147439.88374257798 3194359.884289746 145103.84030744332 3233086.301587302 127927.33189694 3418.6957295373663 25817.675885432105 4118.338664158044 22598.136615336643 200.31297709923663 891.0892039889435 3018 34541 3157 211 144 104 23 0
8 4000003 47216 18968832 10.595024685864429 11.741033328623274 404.64107596151797 617.2396557030074 1146 3267 4488 47125 91 139 91 1013 904 742 575 405 265 171 105 57 32 18 11 7 4 3 3136 3072 3002 2910 2813 2752 2692 2641 2584 2522 2457 2366 2246 2071 1895 40197 6414 375 3328 40197 447 6414 4598 47126 879 508 224 5760 4383 1003 374 9.171115674195756 42.02385435595375 6.39481555333998 20.353530440584812 1.6176470588235294 4.90497946269011 3694750.103810176 149901.09517412094 3702914.299102692 157824.19910358466 3740812.144385027 142051.3882262143 3339.5297741273102 25024.044937845974 4280.313060817547 23942.4664818039 232.67065868263472 1121.990596308005 2796 31053 3120 203 119 79 23 0
9 4500021 49245 19141717 10.15961315752047 11.278873474539465 392.2090726550014 612.0636701347464 1229 3299 4638 49183 62 124 62 1052 934 763 583 413 268 167 102 57 32 18 11 7 4 3 3173 3104 3023 2939 2848 2780 2720 2651 2584 2520 2431 2351 2221 2058 1867 42343 6236 480 3326 42343 481 6236 4865 49184 942 399 286 5987 4489 1012 486 9.432613054132323 42.959071737047566 6.16205533596838 18.54590501661689 1.3703703703703705 3.076527356636324 4196520.197816886 150653.1226140811 4210471.801383399 146396.2313576424 4260862.248971193 143118.369661795 3358.098685676097 24662.336806236828 3997.8013833992095 20528.155051855098 130.99401197604791 601.4473859647511 3079 32449 3146 290 198 116 29 0
10 5000002 50286 20126377 9.946665870931806 11.109137977637635 403.86932878499044 618.6409101732133 1345 3360 4838 50255 31 114 31 1091 941 764 590 425 273 168 102 57 32 18 11 7 4 3 3220 3163 3082 2988 2894 2824 2761 2695 2627 2562 2466 2376 2252 2097 1912 43228 6405 508 3467 43227 504 6402 5178 50255 956 541 347 6329 4790 1068 471 9.02463465553236 42.4407704679394 5.997191011235955 17.966755609071576 1.3864118895966029 2.3130755438025754 4693717.730688935 151916.54981698075 4709863.394194757 151583.1824466998 4736041.464968153 142927.7005792679 3267.8225099185634 26049.643049454007 4165.5374531835205 21686.969370641582 225.65079365079364 1001.7086196744833 3337 33762 3283 232 153 83 17 0
