%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500002 44786 36580916 11.167236180904522 13.355729097313496 822.5491646617048 670.905291203964 3219 1219 4352 44754 32 101 32 3102 3043 2976 2888 2811 2746 2685 2641 2585 2527 2443 2343 2218 2058 1860 1061 945 789 636 459 312 198 118 66 36 20 12 8 5 4 37723 6482 448 1361 37723 823 6482 3846 44755 768 483 407 5473 4080 989 404 9.245833333333334 32.49979637945263 6.554095045500506 23.13312683422655 1.438118811881188 3.246475621407935 192866.7299019608 151211.5512109972 206880.49342770476 152881.93358370112 249728.0792079208 144651.26944925915 7967.1401960784315 42235.53929735573 4072.2780586450963 26905.993554723736 279.6140350877193 1915.7515191279206 2814 27061 2581 438 104 71 17 0
2 1000005 42851 34315058 11.670502287368127 13.785587873311409 807.7639235440893 672.363740790193 3208 1194 4292 42792 59 145 58 3082 3024 2946 2854 2764 2699 2639 2580 2518 2454 2379 2288 2172 2024 1840 1052 935 783 616 449 298 193 117 66 37 21 13 9 6 5 36053 6147 448 1296 36050 786 6147 3803 42791 768 512 427 5489 4060 958 471 8.880049261083744 33.78168828010505 6.416492693110647 22.820164690306097 1.3821656050955413 3.302832857294958 697560.0187192118 153275.90810988963 713111.7860125261 153956.03708583958 752430.7643312102 148899.11565874197 7474.840847499384 43742.89322559156 4122.577244258872 26961.707331464702 119.15813953488372 416.6624868007399 2965 25122 2629 447 108 53 17 0
3 1500015 42943 33042148 11.648945835760047 13.662354912637928 775.408396498721 675.8966525213656 3140 1183 4254 42881 62 120 62 3030 2984 2910 2816 2723 2662 2598 2539 2486 2428 2352 2261 2144 1986 1796 1058 951 799 623 455 313 198 118 67 35 19 11 7 5 4 36294 6093 374 1358 36294 817 6092 3794 42882 852 568 447 5542 4178 979 385 8.686931546194351 32.27631718503833 6.223697650663943 19.438911935653284 1.4441558441558442 3.5758933131474975 1190711.303015797 148504.2103132584 1204826.831460674 151219.9887382921 1227334.135064935 148856.36659662245 7034.585208233605 38461.31247964963 3708.864147088866 20369.456355047976 126.52409638554217 573.1050913952279 3000 25518 2696 421 123 144 18 0
4 2000002 43941 33694159 11.383762493454455 13.610758998406938 772.933888468332 673.3185704404901 3204 1180 4283 43881 60 136 60 3078 3024 2943 2860 2787 2717 2654 2599 2551 2476 2410 2310 2178 2027 1850 1040 934 784 627 461 312 196 122 69 37 21 13 9 6 5 36815 6493 437 1356 36815 808 6493 3823 43882 784 527 349 5419 3986 1004 429 9.236076266934269 37.59801707681376 6.467131474103586 23.116046236878358 1.4755244755244756 4.086762985742102 1697125.7448569995 154472.50238626506 1710381.688247012 149528.4092013183 1741599.5034965035 143558.48417083043 7437.692925238334 44814.23150772753 4002.21812749004 25928.06659388264 156.8042328042328 999.9103557703158 2963 26744 2570 401 98 139 16 0
5 2500010 42069 31364401 11.893183331747693 13.813925617184008 751.5031148169446 676.8747717858041 3233 1161 4309 42037 32 104 32 3108 3039 2954 2862 2792 2719 2650 2608 2557 2502 2415 2318 2193 2030 1840 1053 930 784 620 454 307 200 119 67 36 20 12 8 5 4 34703 6723 507 1287 34703 848 6723 3828 42038 780 486 377 5500 4006 1057 437 8.6627558662007 30.86806592190967 6.360454115421003 21.946869705655303 1.471395881006865 4.245336652751406 2191419.891163255 150279.3910377874 2211476.444654683 152360.3131607407 2235062.853546911 150497.77676675774 6753.68072890664 34279.64067638249 4046.6177861873225 26920.482524588406 183.0340909090909 1089.745018132891 2959 25078 2588 467 95 68 14 0
6 3000001 42680 32833629 11.721874487188504 13.805484120439406 775.5934945906364 674.3448853175556 3290 1244 4405 42586 94 126 94 3148 3079 2997 2911 2824 2749 2674 2626 2559 2505 2427 2328 2230 2070 1882 1087 975 815 652 470 309 192 115 66 36 20 12 8 5 4 35738 6336 386 1321 35736 807 6336 3916 42585 871 493 394 5482 4067 1004 411 8.787312515367592 32.333342627821125 6.3107569721115535 21.230568805211714 1.4744525547445255 4.970472422924803 2698173.9014015244 151540.66778625062 2706214.357569721 153482.93587386564 2743728.099756691 146715.00917027728 7095.878750614855 39731.79917453522 3936.3675298804783 25495.176379982437 150.095 987.4809314614637 2926 25824 2651 355 101 29 15 0
7 3500034 44096 34623489 11.343632321582506 13.512032389031885 790.7504453478281 674.3538937761585 3138 1213 4336 44033 63 90 63 3013 2945 2863 2779 2699 2625 2566 2521 2459 2401 2331 2234 2130 1979 1808 1034 923 773 608 444 302 189 113 66 36 20 12 8 5 4 38155 5240 548 1489 38155 783 5240 3930 44034 875 711 400 5769 4447 946 376 8.57994153361817 35.540637955105744 5.539112050739957 17.080025548203164 1.8643617021276595 8.742473967008983 3198258.6766359345 145718.97993506293 3207983.9524312895 153369.1680930662 3231155.755319149 144730.09454393655 7194.725882617495 46443.1219654599 2742.1490486257926 17183.753120076963 216.0248447204969 1070.0753528932273 3085 28038 2995 314 99 103 23 0
8 4000001 41491 31469166 12.055819448798013 13.841785059136022 766.3734749044152 675.7591422307603 3227 1236 4367 41398 93 99 93 3112 3050 2979 2889 2804 2739 2677 2625 2562 2503 2437 2330 2221 2057 1867 1090 971 812 647 475 316 200 120 66 36 20 12 8 5 4 34883 5838 578 1356 34883 793 5838 3845 41399 812 576 376 5559 4143 946 470 8.41974414675356 32.21716454823233 6.171247357293869 19.820947980819458 1.6382978723404256 6.6832594927032805 3693996.1088583153 148855.89922914025 3702870.21987315 148956.35328952203 3758481.682978723 129855.64880142218 6769.822592324403 40389.017754284716 3580.4270613107824 22350.23608941621 210.38922155688624 953.6954754428898 2969 24358 2726 488 98 76 25 0
9 4500003 43368 33979786 11.538766845117223 13.650484441726446 789.8499105088213 676.9601699920419 3151 1187 4253 43337 31 80 31 3034 2973 2894 2813 2731 2665 2609 2556 2495 2440 2363 2270 2158 2005 1822 1040 921 778 614 450 297 189 113 64 36 20 12 8 5 4 36288 6294 675 1312 36288 782 6293 3764 43338 805 555 415 5554 4195 926 433 8.650297973778308 33.496243540833675 6.796976241900648 22.242090350354836 1.8152424942263279 8.879875787159472 4198390.09034565 149874.61422663718 4206558.704103672 150554.06183094822 4214734.769053117 155419.8898409803 7069.359952324196 42190.19240777418 4626.268898488121 27592.974348077267 254.70253164556962 1420.3098610042186 3043 25686 2759 361 101 77 21 0
10 5000011 45944 37662082 10.889070359966029 13.238069667993795 829.170974417683 672.1974357829357 3191 1255 4402 45819 125 108 125 3056 3001 2928 2836 2755 2699 2636 2581 2523 2470 2393 2294 2190 2035 1846 1086 966 818 653 476 322 202 119 66 36 20 12 8 5 4 38528 6532 651 1365 38526 783 6532 3825 45818 860 499 431 5628 4207 932 489 9.158069883527455 34.7995721390384 7.008583690987124 25.41357482542992 1.8077709611451942 7.711304213875666 4701863.641787497 152079.95442934378 4702755.877682404 153275.07267821406 4765186.672801636 148695.8094310867 7842.323823109843 44490.75805807076 4985.627682403433 32799.06155519221 189.0 770.389527604331 3133 27917 2762 403 102 56 20 0
