%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500028 57404 21888839 8.717219258794408 9.854347523566695 384.1704693039419 610.059451456568 1081 3254 4414 57343 61 97 61 968 869 725 563 409 268 170 103 57 32 18 11 7 4 3 3109 3035 2954 2847 2750 2681 2612 2551 2488 2421 2331 2236 2131 2003 1833 51479 5215 552 3423 51479 495 5215 4832 57344 820 519 220 5839 4419 974 446 11.649468205476353 82.86216699536183 5.354209445585216 14.375679610753963 1.5919282511210762 5.432834901528351 188826.0070151618 144548.61858887176 208151.68069815196 148389.45304859296 246923.30269058296 142019.1974352577 4151.449196650826 82804.37430719042 3480.0965092402466 16356.75274453936 1196.875968992248 11824.522547353368 2827 41631 3198 160 92 214 15 0
2 1000014 54539 23102211 9.171616193114074 10.293818073819681 427.38445315968625 629.5873787210732 1074 3351 4480 54475 64 76 63 963 857 713 555 405 265 168 103 57 32 18 11 7 4 3 3220 3156 3072 2969 2881 2817 2754 2704 2653 2591 2522 2421 2305 2138 1937 47452 6242 706 3095 47451 541 6242 4554 54476 806 435 185 5742 4133 1118 491 11.481248487781272 83.51698402054939 5.583184257602862 15.739578998445307 1.720977596741344 8.78934274134575 687663.6781998548 148056.75821500178 712675.5 152033.55354457113 750942.5865580448 150076.3046527806 4587.272991287512 90059.81346546402 3471.660107334526 16356.625216038932 1976.0444444444445 21679.975812136297 2945 37474 2892 235 126 445 26 0
3 1801816 49757 20793223 16.126199143253626 1602.0241122214766 421.444313828817 626.1797786764208 1023 2976 3995 49697 60 69 60 916 820 695 543 394 257 164 101 57 32 18 11 7 4 3 2863 2813 2746 2673 2590 2536 2482 2436 2384 2311 2246 2153 2056 1917 1739 43531 5526 571 2930 43530 388 5526 4142 49697 728 459 104 5249 3983 856 410 10.929199096158674 75.72112106105308 6.455607476635514 16.745378773869938 1.7073170731707317 6.429163735779594 1176244.309314587 134081.53862422885 1173322.36682243 136561.26566984248 1208315.343902439 130642.82870409427 4370.688849824209 80661.5064028689 3754.1728971962616 15043.343476660224 1795.7755102040817 15646.583451804605 2567 34012 2760 208 105 248 28 0
4 2000003 21732 8926234 9.1233198306021 10.202430021643332 413.4111708040015 620.4904333066871 872 1830 2533 21732 0 56 0 776 697 594 484 361 250 164 102 56 31 17 10 6 3 2 1772 1742 1709 1653 1615 1579 1541 1515 1487 1449 1413 1373 1315 1241 1150 19188 2301 187 1647 19188 247 2301 2458 21732 425 209 46 3059 2353 513 193 8.154696132596685 45.5106456725046 4.485380116959064 8.979508836644042 1.2590673575129534 1.0554570750654426 1882146.1525711857 57449.23452894891 1894203.372319688 61613.44537381722 1901151.238341969 56507.40640510874 3174.3081172970674 47150.38344347322 2812.7660818713452 8153.31234737871 203.97142857142856 793.6020953313352 1618 15590 1560 203 166 127 23 0
5 2500001 59785 22917379 8.370231499305335 9.609280768885077 385.9707799316234 609.4294847223493 1209 3240 4482 59755 30 111 30 1059 936 774 589 419 273 173 104 57 32 18 11 7 4 3 3127 3070 3000 2911 2825 2761 2693 2637 2580 2508 2431 2344 2236 2093 1914 52876 6268 500 3144 52876 504 6267 4677 59756 847 461 86 5839 4324 1046 469 12.228492136910269 84.6058350073965 5.992351816443595 19.617177473011967 1.3667377398720681 1.9655888292389632 2193344.9266882516 147495.8167697773 2210612.5248565967 150897.43710788942 2249908.2153518125 154278.3510589515 4494.79579093432 85127.69262261389 3303.923518164436 15708.729956860057 188.47142857142856 1001.9483448333481 2931 42773 2868 550 269 350 30 0
6 3000001 56870 24610469 8.798997008622207 9.88638609143759 436.2633790083846 630.8785030731628 1216 3232 4493 56716 154 96 94 1061 935 768 599 427 277 172 104 57 32 18 11 7 4 3 3101 3035 2970 2880 2794 2735 2674 2610 2558 2494 2424 2344 2235 2079 1889 50347 5934 399 3254 50287 493 5930 4745 56717 906 549 180 5884 4496 998 390 11.19817615658363 83.31599715878264 5.945891783567134 16.051769953412446 1.5102564102564102 4.889024862133972 2699116.0100088967 150103.33818217274 2709336.751503006 152381.7739520299 2752990.0512820515 141626.78568200985 4733.392880978866 86536.91460109364 3317.0240480961925 14900.928087294611 199.45833333333334 1107.5971101142027 2898 39336 3066 568 279 386 34 0
7 3500005 57167 22954527 8.752980097673685 9.753655850351365 404.0498838273604 619.6874729866519 1126 3231 4398 57105 62 104 62 999 893 742 575 413 274 172 105 57 32 18 11 7 4 3 3112 3047 2975 2889 2796 2731 2674 2618 2567 2493 2418 2331 2209 2063 1891 50834 5793 374 3259 50833 480 5793 4612 57105 782 542 179 5761 4381 998 382 11.60328692079434 81.92945590728428 5.804609218436874 14.96853747793875 1.4136125654450262 3.260905986593778 3190916.4193106596 144452.79793835944 3217286.365731463 154757.38992361218 3256423.376963351 146228.17947240584 4440.18196347032 84684.76825279684 3497.9018036072143 15578.879683513405 115.78985507246377 575.3712789978764 2865 40072 2969 275 151 436 33 0
8 4000026 57181 24280813 8.74862221600154 9.969982239948997 427.75000440412225 628.0562428494399 1116 3309 4474 57100 81 129 81 990 875 728 568 411 272 170 104 58 32 18 11 7 4 3 3177 3118 3058 2964 2874 2809 2742 2692 2631 2562 2492 2402 2292 2138 1950 49837 6695 439 3088 49837 501 6695 4473 57101 754 515 135 5686 4147 1098 441 12.017603086568604 82.61334513156372 6.097449908925319 17.226684303565722 1.471655328798186 3.9906352962939637 3699563.1507113576 152017.51506277843 3705490.550091075 148737.093913497 3758028.1678004535 147861.1904730543 4910.933445864481 89404.00608898273 3540.030965391621 15825.009003959834 201.64788732394365 1250.2410387319628 2891 38685 2847 272 149 485 40 0
9 4500016 58289 23053649 8.583547910873072 9.72794785192776 398.6669087639206 613.802351333662 1106 3248 4501 58247 42 120 42 1006 899 744 576 415 266 166 103 57 31 17 10 6 4 3 3117 3060 2984 2879 2795 2722 2654 2596 2532 2471 2393 2313 2208 2059 1860 51280 6337 510 3295 51280 478 6337 4785 58248 851 493 185 5898 4407 1014 477 11.636033582936237 80.3831701936071 6.2495069033530575 19.459866148885617 1.4088050314465408 2.4145783646933645 4196433.045155435 151676.5402023779 4205722.892504931 153105.1398028824 4242937.86163522 149227.8978145609 4400.851372815974 87267.73996606455 3597.1370808678503 17013.750695823805 93.49612403100775 200.82598815735938 2856 40751 3092 285 158 493 29 0
10 5000021 56739 23050989 8.816694290651338 9.927416697467175 409.9209375111143 619.8720857645585 1111 3440 4657 56677 62 119 62 993 883 726 577 420 271 173 104 57 32 18 11 7 4 3 3310 3250 3169 3074 2978 2907 2836 2781 2723 2649 2566 2475 2340 2156 1945 49739 6248 571 3320 49739 525 6248 4904 56678 818 445 216 6028 4433 1033 562 11.22016692984435 79.23868092053665 6.048402710551791 20.59372830966163 1.3380782918149465 2.789788190789077 4699042.247011053 151962.6027261974 4710049.046466602 156195.47458547758 4740517.814946619 143791.55808382004 4385.153846153846 85866.23409548603 3463.2139399806388 17592.30317551858 212.31288343558282 1282.7662162857937 3155 39270 3134 274 158 534 34 0
