%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500015 46654 37573489 10.7233385516073 13.168404430858695 813.9767769329087 676.3939845047516 3370 1260 4519 46626 28 90 28 3238 3159 3070 2977 2881 2803 2733 2679 2622 2554 2475 2366 2237 2090 1903 1112 985 821 650 476 320 206 123 68 37 21 13 9 6 5 39364 6557 615 1377 39364 843 6557 4002 46627 754 589 443 5740 4180 994 566 9.417224880382776 36.69126657751407 6.596579476861167 27.32953385118632 1.295053003533569 1.9566864613747417 195191.46363636362 152140.17448987014 214746.9587525151 153799.80128759146 234866.32508833922 141475.732579051 8008.56004784689 46773.38427460132 4094.837022132797 32142.610728809548 153.47802197802199 699.39242470609 3180 28387 2723 1004 128 232 31 0
2 1000032 49495 41040465 10.107167401059142 12.652380421209202 836.8353689619314 673.4972704268625 3297 1270 4457 49433 62 103 62 3173 3107 3022 2933 2844 2767 2705 2660 2606 2544 2466 2374 2257 2093 1901 1114 987 827 659 480 318 207 120 65 36 20 12 8 5 4 42280 6478 572 1439 42280 829 6478 4003 49434 926 544 483 5765 4298 979 488 9.8371335504886 39.226066228393385 6.616956077630235 25.28838772294804 1.5102459016393444 3.9598393741227005 694302.721265705 150659.11872355785 715849.7334014301 147798.88638771063 748547.6270491803 147492.63709736997 8672.636575151233 51680.16698402759 3814.5137895812054 28263.893743347537 192.17073170731706 703.19081561887 3038 31498 2740 533 135 221 28 0
3 1500004 47909 38195876 10.439574894558817 12.659725738795352 805.933050597122 679.2855598644192 3328 1243 4461 47789 120 105 120 3196 3132 3060 2971 2878 2810 2744 2675 2621 2572 2493 2390 2269 2123 1942 1104 982 820 651 474 320 201 119 67 36 20 12 8 5 4 40471 6637 576 1358 40469 838 6637 3966 47788 877 562 488 5750 4222 1034 494 9.585741354808148 36.22533627390188 6.418762088974855 25.83336349075838 1.6214574898785425 6.043365552941319 1199207.94197063 151989.8065976263 1219021.3907156673 147349.1435922957 1241697.5829959514 139923.97732102245 8231.158493248045 47121.70300532702 3295.2127659574467 26881.645343510405 248.20218579234972 1728.1979575059881 3152 29819 2737 677 142 245 27 0
4 2000018 47724 37753718 10.484547322514363 12.849262042461953 797.6107660455486 676.637956391185 3341 1321 4522 47693 31 158 31 3205 3140 3054 2961 2869 2797 2735 2689 2638 2581 2504 2422 2327 2160 1970 1140 999 822 650 475 319 201 118 65 36 20 12 8 5 4 40842 6123 570 1448 40842 798 6123 3999 47694 922 526 481 5788 4331 955 502 9.430154698683907 36.05219221323832 6.4115183246073295 25.328108674064783 1.5119521912350598 5.26376018780691 1702046.077349342 151581.98032537542 1701886.6984293193 146933.27648448452 1751133.561752988 147678.94265882554 7985.402447471715 46473.63948049636 3283.5623036649213 27145.333044896033 171.93846153846152 1017.3659856305147 3193 30389 2732 496 154 62 18 0
5 2500009 46591 35699985 10.736783336912175 12.935219577516811 774.9355748985217 679.9761528551353 3318 1409 4661 46559 32 106 32 3175 3112 3028 2927 2836 2773 2707 2654 2589 2541 2469 2372 2265 2090 1909 1152 1007 833 660 485 325 198 117 65 36 20 12 8 5 4 39375 6344 734 1534 39375 832 6344 4144 46560 1028 606 468 5973 4354 1014 605 9.043408360128618 35.85843394872311 6.256410256410256 25.304789015916324 1.4413223140495868 4.761762296176622 2195402.555351401 152367.81024280342 2212756.322485207 153328.82358568342 2227255.0280991737 138136.0633509016 7406.887000459347 46097.47555060107 3370.3639053254437 27147.975171533533 192.90173410404626 1044.9025869357254 3395 29108 2778 508 110 43 14 0
6 3000001 47202 35561963 10.59934287228405 12.533955153761417 760.8237345428095 681.6245529089466 3349 1404 4638 47171 31 112 31 3229 3171 3103 3006 2919 2837 2775 2713 2655 2599 2534 2441 2329 2168 1960 1143 998 837 656 477 324 206 122 66 35 20 12 8 5 4 39698 6707 654 1609 39698 816 6706 4190 47172 1020 563 474 5906 4380 978 548 9.063470319634703 35.33437148470563 6.857873210633946 27.553461697829228 1.4543795620437956 4.232305371676775 2697280.600456621 151099.71299178113 2710926.437627812 154573.9944620405 2739927.5237226277 146102.12073224 7253.5584474885845 43841.75934141915 3840.513292433538 29414.90375283155 186.53645833333334 1159.586418279523 3332 28858 2693 466 111 46 15 0
7 3500010 47426 36014817 10.546708569741199 12.524330374172637 766.314417634793 681.0357537618994 3284 1475 4684 47365 61 118 61 3152 3091 3020 2938 2850 2768 2699 2644 2588 2529 2451 2363 2247 2104 1896 1161 1006 821 639 479 323 202 121 67 36 20 12 8 5 4 40279 6410 558 1586 40277 788 6410 4145 47364 1185 689 482 6064 4602 948 514 8.752498913515863 33.36365092365098 6.761603375527426 29.014564217111047 1.433852140077821 4.170724353663431 3198856.2661886136 148517.0755309246 3209562.523206751 152297.67323539304 3252138.5525291828 141234.91994994893 7133.224733753532 41683.987211468906 3337.4367088607596 26758.882472404202 170.58695652173913 894.1022519580865 3439 29089 2956 791 105 90 23 0
8 4000002 48571 38407216 10.298737410146032 12.66380671744137 798.3304302639784 675.5314497619953 3342 1282 4550 48445 126 138 126 3201 3140 3053 2970 2888 2809 2743 2691 2619 2554 2475 2385 2275 2091 1902 1068 935 784 631 461 309 200 120 67 36 20 12 8 5 4 40166 7575 566 1426 40166 792 7575 4053 48446 894 512 415 5783 4339 944 500 9.256971652454483 35.38725934558514 8.024364406779661 38.69931075022362 1.66 6.860320692212573 3687380.8398248446 148904.01365705513 3714729.6483050846 149376.66151488535 3722573.176 147167.91685420435 7706.358147038488 46150.98969104074 5215.716101694915 44542.92049193981 226.24019607843138 1386.1863769236184 3097 30469 2789 422 109 112 20 0
9 4500010 45790 35051695 10.926209985797007 13.065969820681724 771.5958659857357 679.4678653952527 3355 1269 4559 45729 61 137 61 3234 3172 3092 2996 2907 2826 2756 2708 2650 2590 2514 2412 2288 2123 1905 1111 995 824 665 491 331 204 122 66 36 20 12 8 5 4 37882 7241 469 1457 37882 861 7241 4058 45730 907 670 340 5874 4390 1017 467 8.629157175398634 31.444143629059454 7.119960668633235 28.758565053101503 1.4282655246252676 3.979067283346205 4200582.44738041 149417.56571751094 4209004.312684366 149562.23320846687 4232719.580299786 144368.60725514445 7046.382460136674 39861.59805611466 4018.678466076696 28105.999506118882 154.12745098039215 888.9084956987925 3184 27050 2896 475 126 103 25 0
10 5000032 44899 35138589 11.144506351682638 13.338135603498424 788.7173639791704 680.3422415455126 3209 1234 4378 44835 64 120 64 3079 3008 2933 2839 2755 2685 2620 2571 2518 2464 2402 2318 2196 2029 1849 1061 951 799 644 468 314 194 115 66 36 20 12 8 5 4 37635 6624 456 1441 37635 834 6624 3925 44836 864 555 438 5612 4194 984 434 8.973533619456367 30.40268997084045 6.7317073170731705 27.16550074808688 1.4746543778801844 4.7273593334208375 4695723.196471149 151001.62966825004 4711672.272357724 153822.6552629168 4740293.168202765 154237.67867796682 7494.049356223176 39986.03620978388 3741.1270325203254 27544.555788252503 151.78021978021977 887.3530183195858 2918 26602 2692 492 110 91 28 0
11 5500018 46293 35827771 10.807590887476765 12.894251652317037 779.7025744815129 677.4630159287634 3368 1454 4719 46293 0 132 0 3222 3161 3084 2989 2903 2833 2761 2719 2652 2589 2506 2415 2275 2098 1916 1150 1005 829 657 487 326 207 122 66 36 20 12 8 5 4 38313 7329 519 1601 38311 834 7329 4214 46292 1021 558 382 5924 4380 1042 502 8.747260273972604 32.25058846937532 7.0335892514395395 31.884327885080175 1.296812749003984 2.668616485039225 5200952.7673515985 152361.0579010659 5217965.555662188 150803.56270890505 5233164.679282868 144984.1397960288 7260.580497830555 41745.53501248271 3836.4443378119004 27765.539781342773 186.0 882.5407026515744 3289 27139 2695 447 118 105 27 0
12 6000009 47565 37872904 10.515636501293402 12.91707259693705 803.7808527345657 676.1040011772623 3340 1302 4590 47504 61 139 61 3213 3142 3054 2956 2871 2799 2733 2691 2622 2554 2477 2387 2257 2088 1903 1119 991 825 651 480 324 204 123 71 40 24 16 12 9 8 39573 7260 532 1397 39573 852 7259 4034 47505 934 546 495 5901 4353 1006 542 9.090971743625087 32.4347053011356 7.216699801192843 31.088822919769402 1.3505535055350553 3.2440692409152425 5696422.679531357 151136.98153801865 5703204.579522863 146614.81955337594 5752236.911439114 145358.39062842817 7754.750516884907 42669.810825136956 4070.1630218687874 28119.234074709613 104.3785046728972 495.35736651507233 3256 27465 2840 1236 110 118 33 0
