%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500005 47987 40008454 10.423639774859287 12.915806322090784 839.4800981976122 668.2522582814772 3291 1155 4367 47957 30 102 30 3154 3099 3024 2923 2842 2779 2719 2667 2613 2545 2472 2379 2242 2074 1884 1023 920 782 612 455 304 196 117 65 36 20 12 8 5 4 39903 7546 406 1421 39903 813 7546 3929 47958 827 629 354 5660 4244 980 436 9.402214891611687 40.48365409423742 7.7 35.513463960151505 1.2339449541284404 1.6617664968064125 195014.33576814327 148866.38586911844 214104.82959183672 153151.73902065898 232634.50917431194 141902.09050993383 8155.056079170594 53501.956225069785 5492.397959183673 44803.64079826094 95.70414201183432 193.2988457983706 3121 30233 2734 566 114 237 14 0
2 1000018 46379 36871479 10.784324720700514 13.003597961185978 802.1033522591312 674.251085509849 3276 1294 4488 46315 64 89 64 3145 3073 3001 2907 2821 2752 2694 2647 2596 2540 2469 2381 2266 2100 1920 1134 1019 840 660 476 322 204 120 68 37 21 13 9 6 5 38987 6761 478 1465 38985 838 6761 3996 46314 860 491 405 5687 4158 1047 482 9.376382876382877 35.48667344657699 6.4574976122254055 23.20055000500767 1.3091286307053942 3.117678144460735 696018.7842712842 149855.3784363778 713339.4030563515 149225.1840769814 745699.5228215768 138395.9544851766 7838.942506615347 45659.39996697283 4076.256924546323 27839.46284687753 97.57777777777778 286.22057345108277 3046 28217 2636 549 145 124 20 0
3 1500028 48766 39774481 10.259355765285187 12.59006861208291 821.6753775280434 674.0554995341007 3279 1312 4546 48766 0 119 0 3134 3073 3000 2902 2805 2732 2669 2612 2555 2496 2423 2322 2210 2041 1849 1095 977 822 646 474 313 199 122 67 35 19 11 7 4 3 41307 6862 478 1494 41307 836 6862 4045 48766 1033 485 500 5851 4329 1024 498 9.541926541926541 41.918724779977346 6.701171875 22.208220958127196 1.1987951807228916 1.5347383121389093 1194512.244167244 150042.00412989155 1206440.869140625 151329.92278436178 1238058.7429718876 137925.6858934503 8077.323169323169 54104.54914886322 4678.646484375 27267.245792979636 89.44791666666667 402.568039021563 3171 31252 2758 450 109 75 16 0
4 2000027 50004 41686817 10.003621086325898 12.56208907087302 840.1120493339514 669.3213163389864 3280 1254 4477 49941 63 104 63 3152 3090 3019 2919 2834 2759 2702 2654 2605 2541 2478 2372 2249 2083 1874 1084 966 814 648 472 316 200 121 67 36 20 12 8 5 4 42282 7093 462 1421 42282 795 7093 3917 49942 846 518 461 5613 4179 960 474 10.11773151471644 40.086768775602614 7.388541666666667 26.687387782746118 1.3270042194092826 3.1219922234108743 1694979.6346015793 151106.3437204897 1698776.6333333333 151419.18772499711 1757296.32278481 149296.1908695891 8755.055754965302 53253.7400047469 5286.191666666667 32522.912462168497 133.39361702127658 515.2360644672106 2906 31492 2724 434 93 115 15 0
5 2500009 50652 42837552 9.877973133148952 12.381588496719395 853.6701739702278 669.0086596719715 3295 1236 4508 50559 93 118 93 3180 3119 3044 2953 2858 2795 2737 2683 2618 2555 2481 2367 2257 2084 1887 1085 962 814 647 478 325 207 121 67 36 20 12 8 5 4 42387 7457 597 1410 42387 802 7457 3965 50560 871 629 527 5889 4373 997 519 9.69288817745255 44.840293879272366 7.479438314944835 28.055897779265624 1.556840077071291 5.202637540668782 2199908.7946489826 150545.28182092044 2206936.9809428286 151392.34078363026 2248381.5626204237 147132.40539252255 8492.8804024697 60333.49418145643 5655.098294884654 35790.907300684885 351.8837209302326 1979.7101018101873 3230 32129 2938 385 93 297 9 0
6 3000007 50399 42147731 9.924812925507632 12.43459377254296 844.6539078156312 671.9390059040409 3324 1286 4603 50305 94 119 94 3174 3099 3016 2921 2811 2740 2668 2614 2553 2480 2410 2309 2201 2051 1878 1101 985 829 658 481 322 198 116 64 35 20 12 8 5 4 43524 6084 578 1415 43522 751 6084 4002 50304 955 620 388 5980 4511 928 541 9.648414985590778 40.87478649653378 6.556034482758621 24.26696882311569 1.4621072088724585 4.718312928859166 2698604.8880514298 150621.17496292014 2704411.2640086208 150413.36246726927 2760140.268022181 144507.0561722291 8440.189135254988 54638.16417323413 4368.226293103448 29196.391980830027 163.4804469273743 670.4906774917545 3219 33060 3011 386 93 198 20 0
7 3500015 49738 41804675 10.058778564531703 12.658892762799006 845.7582390904125 671.0371960397687 3307 1191 4391 49708 30 140 30 3156 3080 2995 2897 2805 2740 2670 2626 2565 2505 2432 2343 2217 2053 1854 1057 947 803 637 459 306 194 112 63 35 20 12 8 5 4 41906 7231 431 1343 41906 827 7231 3927 49709 835 474 437 5599 4169 990 440 10.051810985847926 47.15000330037861 7.304040404040404 26.720060182597198 1.365909090909091 2.2967368155711703 3194660.01942912 150634.45495408567 3206620.5393939395 147579.6676115458 3236238.852272727 139941.32051830445 8798.315663228592 64512.05138386267 5150.006060606061 32738.15306840481 130.1980198019802 485.11266426439846 2957 31493 2685 372 97 235 16 0
8 4000007 52169 43631481 9.587387111000327 12.248014657762916 842.4765398725623 673.1457818470374 3323 1219 4542 52138 31 108 31 3164 3096 3024 2932 2839 2763 2689 2626 2560 2486 2401 2292 2179 2020 1822 1059 957 807 635 460 309 195 115 64 36 20 12 8 5 4 44813 6686 531 1365 44813 794 6685 3975 52139 990 571 448 5843 4402 966 475 10.180145388459792 43.226606707993 6.921325051759834 26.14367453948471 1.4105263157894736 2.6337885460422137 3699760.780327124 152134.108570376 3699260.2701863353 147178.6627836615 3743560.2884210525 140985.99120344134 8788.689913675602 57728.24970513484 5083.291925465838 33040.0236483925 187.6368715083799 809.4126465544226 3045 33938 2967 383 98 271 11 0
9 4500006 8275 6997974 60.44511605415861 4580.6702987004555 854.0462533561142 667.4856891561165 1189 601 1553 8275 0 20 0 1141 1117 1096 1057 1030 1005 977 953 932 909 890 869 842 805 753 543 503 444 383 312 232 158 101 57 31 17 9 5 3 2 7080 1075 100 530 7080 241 1075 1414 8275 161 77 97 1858 1478 271 109 4.790257104194858 12.352759329728187 3.9667896678966788 8.79575543390882 1.1009174311926606 0.37096452512212347 4327654.962110961 209517.95145228933 4325802.132841328 210337.18902615475 4398984.0458715595 163043.9446796392 4238.94451962111 17227.850549330513 2690.19926199262 11437.683055216503 116.6969696969697 227.53894105618426 1020 5494 994 53 21 33 6 0
10 5000042 49777 40850458 10.052304661587634 12.709767236540076 829.1413667823581 673.475678398971 3272 1284 4574 49683 94 112 94 3139 3081 3002 2908 2825 2758 2696 2639 2569 2502 2432 2346 2240 2065 1863 1099 981 820 649 465 310 200 120 66 36 20 12 8 5 4 42382 6597 592 1437 42380 820 6596 3998 49682 989 642 554 5943 4452 976 515 9.519766397124888 41.04109821918558 6.75922131147541 31.156219940544883 1.5495145631067961 5.0217004817248245 4694698.761680144 150136.69220495762 4711164.176229509 152093.4689387912 4746820.359223301 150362.08070397 8103.938216131207 54386.684517516864 4846.274590163935 39926.972663318425 291.1734104046243 1873.5405881005395 3110 32551 2966 246 113 56 15 0
11 5500019 47354 38695098 10.563783486858785 13.050333557019275 824.2732346362765 673.0943725190054 3299 1305 4579 47324 30 183 30 3147 3074 3001 2903 2818 2743 2673 2617 2557 2485 2402 2311 2197 2034 1838 1123 985 826 649 477 309 193 114 62 35 20 12 8 5 4 39489 7151 501 1436 39489 763 7151 4008 47325 955 529 367 5967 4545 890 532 8.688448844884489 40.29796883999568 8.034831460674157 35.54716758893043 1.3421052631578947 2.05561764678513 5195292.775137514 150059.47796473373 5209777.714606741 155430.56889291527 5241291.996240602 141637.2897009367 7318.375357535753 54505.10636570333 6076.115730337078 45885.160097730746 125.6 369.74611592808174 3189 29476 3031 299 104 127 15 0
12 6000006 48850 40877957 131.00786337387885 26687.72275939251 845.2246092134645 673.541545140575 3604 1330 4905 48786 64 229 64 3374 3283 3191 3079 2972 2899 2839 2786 2727 2655 2586 2486 2376 2222 2023 1131 1007 825 653 470 317 199 120 65 35 20 12 8 5 4 40904 7100 553 1440 40903 817 7100 4325 48786 1049 592 402 6407 4569 1181 657 8.952506018822499 38.07621861691148 6.011854360711261 24.22818772505085 1.2876712328767124 3.022241248037526 5702267.857955789 174028.08777904965 5747528.094834886 158611.23868432353 5769606.2952815825 139605.58258811545 7864.945490367776 51627.07121041137 4172.983065198984 29810.617805986472 79.85813148788927 355.8115388953437 3597 29870 3032 258 116 28 9 0
13 6500015 50599 42970165 9.886373522084702 12.754530247577586 856.9272908565162 668.7840730195796 3525 1267 4754 50573 26 195 26 3341 3263 3182 3081 2981 2912 2846 2775 2710 2648 2573 2468 2370 2200 1981 1121 989 825 649 473 316 200 118 66 36 20 12 8 5 4 42698 7087 593 1539 42698 773 7087 4306 50574 893 729 529 6274 4610 1027 637 9.262039045553145 43.19828670178519 6.900681596884128 29.10090560297634 1.2778649921507064 2.8812172554046396 6193748.187201736 148797.56813681955 6187550.3184031155 146096.39356579227 6245668.800627943 145646.7676652414 8153.234707158352 58036.88906392026 5214.070107108082 37306.925536061826 111.6235741444867 732.3145530185357 3451 32342 3086 297 108 27 13 0
