,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,vnf cpu usage
0,126,7,0,766861942,6221861800,0.0215408849706012,0.029460603177219893,0.0005862762550423536,0.0125,0.0159,0.00040439999999999996,0.18558,0.15336,0.07134,-1015566999,71.88
1,128,7,0,1272097,6221861800,0.006595536741376815,0.012169585143592778,0.000293290790732231,0.0125,0.0159,0.00040439999999999996,0.2426,0.16593999999999998,1.0284,-1015567008,3.516
2,130,1,0,2424196705,6250345153,0.11718718091505867,0.0014245093352918275,0.00014019263687560794,0.06873,0.01193,0.00011540000000000001,16.7,1.2146,0.9994,-1017490172,0.18044
3,135,9,2,1338868,6251697028,0.0020872888996953595,0.013997484588132443,4.743052953969341e-05,0.006248,0.01553,3.815e-05,1.8676,0.2128,12.244000000000002,-1017490184,26.46
4,273,2,0,2111669913,6250245734,0.019675287905773598,0.06858118543608566,0.0017661898649193786,0.0625,0.1184,0.001158,68.36,11.376,15.38,-1024074762,41.74
5,395,7,0,1271423,6221861800,0.011801160184861931,0.010463905977651726,1.1370024622697693e-05,0.0125,0.0159,0.00040439999999999996,0.12284,0.1564,0.2572,-1025477682,36.66
6,399,9,0,336036419,6221861800,0.01945108093808219,0.027720191909153882,0.00041889246412747644,0.0125,0.0159,0.00040439999999999996,0.13198,0.1215,0.243,-1025477691,8.35
7,400,7,0,337866550,6221861800,0.022235412071908447,0.019604421603761704,8.798246198151358e-06,0.0125,0.0159,0.00040439999999999996,0.4196,0.1524,0.586,-1025477700,10.655999999999999
8,752,9,0,4302675801,6221861800,0.016991297836245985,0.022728437871200442,0.00020314174741715307,0.0125,0.0159,0.00040439999999999996,0.29100000000000004,0.16441999999999998,0.08564,-1029197129,25.92
9,756,9,0,376218268,6235196851,0.0038676537304956366,0.007507981484772147,0.0015398483850340484,0.009369,0.006218,0.001358,0.14306,0.2968,0.09994,-1029197139,2.5940000000000003
10,760,6,2,3337967098,6251697381,0.012832671553511577,0.0026995965309767694,1.6849147961652642e-05,0.009369,0.0046619999999999995,1.907e-05,10.168,0.2162,4.3580000000000005,228236225,8.35
11,897,3,0,3337967098,6251697472,0.021125325153905875,0.005874390901107425,5.449243919819728e-06,0.0125,0.006104,1.907e-05,21.26,1.0804,9.4,197297309,12.488
12,902,3,0,1094097,6251697472,0.015207344078115713,0.011214040884654644,1.1370492485510485e-05,0.0125,0.006104,1.907e-05,29.160000000000004,0.9446,11.352,218790330,14.282
13,905,3,0,1275448,6251697472,0.015970965438699854,0.009835258698257177,1.6862658373342008e-05,0.0125,0.006104,1.907e-05,23.1,1.1506,12.28,199688637,0.12836
14,911,3,0,8055063,6251697472,0.020368105920700375,0.0018021764309082056,3.642846136145595e-05,0.0125,0.006104,1.907e-05,26.96,1.1078,9.656,216779865,15.38
15,916,3,0,336032777,6251697472,0.02214698318182376,0.006831513578084038,3.177689301101897e-05,0.0125,0.006104,1.907e-05,26.22,0.949,6.651999999999999,218111244,8.094
16,919,3,0,204395617,6251697472,0.0026580452176436925,0.004276258045410568,8.575378881563388e-06,0.0125,0.006104,1.907e-05,26.66,1.1474,13.452,197296940,12.0
17,925,3,0,565037823,6251697472,0.004116268582076768,0.006172494860874025,5.467620369555314e-06,0.0125,0.006104,1.907e-05,20.9,1.1764,6.518,218790405,0.1049
18,930,6,0,1094464,6251697472,0.003226533626821113,0.0064039583357060345,2.2121839343556247e-05,0.0125,0.006104,1.907e-05,18.774,1.1352,10.498,197296856,28.56
19,937,3,0,1273582,6251697472,0.02457798683799604,0.001710684003269759,3.8482592402610365e-06,0.0125,0.006104,1.907e-05,20.36,1.0178,6.396,217442665,44.18
20,943,7,0,4820365604,6251697472,0.024338992120689986,0.008279592775578526,1.3646691140554428e-05,0.0125,0.006104,1.907e-05,7.52,0.502,6.2440000000000015,-1032157923,45.9
21,948,3,0,711219,6251697472,0.0027200508714205797,0.009669751611543308,3.403905248549801e-05,0.0125,0.006104,1.907e-05,21.12,1.0544,4.8820000000000014,212545293,34.38
22,969,7,0,257407745,6250156944,0.07962281673064339,0.030311510438304164,0.00010599402104823268,0.0625,0.03259,0.0001554,9.144,0.2862,10.572000000000001,-2082282894,41.6
23,1006,9,0,1094097,6251697611,0.016447650424542392,0.010070786199731785,3.642917071258435e-05,0.009369,0.0054859999999999996,1.907e-05,3.1060000000000003,0.15736,4.584,77005158,39.46
24,1010,7,0,8055063,6251697611,0.008498714416706155,0.0008822890520295375,2.8299466491110827e-05,0.009369,0.0054859999999999996,1.907e-05,4.284000000000002,0.2396,0.07134,66434500,65.24
25,1015,7,0,565037823,6251697611,0.008164898454613427,0.0042242473607260215,2.603979568405108e-05,0.009369,0.0054859999999999996,1.907e-05,3.278,0.254,5.34,77005355,48.92
26,1022,9,0,1273582,6251697611,0.010900517355788631,0.0018016645912025816,2.9572063387647203e-05,0.009369,0.0054859999999999996,1.907e-05,3.394,0.2574,4.67,100155655,26.22
27,1026,7,0,4820365604,6251697611,0.017607090513466858,0.00782428011042445,1.003009792918129e-05,0.009369,0.0054859999999999996,1.907e-05,3.29,0.16498000000000002,4.4,101159043,36.76
28,1030,7,0,3337967098,6251697611,0.0045454451088905575,0.0012408600509728187,2.3018180607787364e-05,0.009369,0.0054859999999999996,1.907e-05,5.524,0.2282,4.102,67525403,0.2304
